N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad;Permiso_salud;Vigencia_permiso_salud;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_actividad;Nogis;N_finca;F_real;Derecho;Direccion_comercio;Filial;N_plano_catastro;Tipo_persona;Distrito;Canton
180;PULPERIA LA POPULAR;12462;20/3/2006 00:00;COM;PULPERIA;180;;;0;0;1;;748;527064000;145247;;1;PIEDADES, DE ENTRADA A CALLE CEBADILLA 500 SUR. ;;1-736410-2001;F;PIEDADES;SANTA ANA
196;PANADERIA RIO ORO ;20884;23/10/2006 00:00;COM;PANADERIA Y REPOSTERIA;196;23/9/2020 00:00;;0;0;1;;702;529238000;410528;;1;URUCA, COSTADO OESTE DEL ABASTECEDOR RIO ORO. ;;1-663355-1986;F;URUCA;SANTA ANA
202;BIMBO;19941;30/3/2005 00:00;COM;PAN;202;;;0;1;1;;697;911999999;123456;;1; ;;NO SE INDICA;J;POZOS;SANTA ANA
203;TELEDOLAR SANTA ANA ;109055;10/7/2006 00:00;COM;ENVIO DE DINERO;203;;;0;1;1;;327;325201000;14130;;0;CENTRO COMERCIAL SANTA ANA 2000, LOCAL # 43. ;F;1-116210-1993;J;POZOS;SANTA ANA
204;BODEGAS AMERICA;8862;25/7/2000 00:00;COM;BODEGAS;204;;;0;1;1;;;315212000;313389;;0;DE LA GUARDIA RURAL 255 ESTE.  ;;1-402014-1980;J;POZOS;SANTA ANA
205;BODEGAS;7564;11/11/1997 00:00;COM;BODEGAS;205;;;0;1;1;;;314034002;266754;;0;POZOS, DEL HOGAR DE REHABILITACION 43 ESTE. ;;1-1765060-2014;J;POZOS;SANTA ANA
207;BOLSA NACIONAL DE VALORES;15627;9/10/2000 00:00;COM;ACTIVIDAD BURSATIL;3467-2019;26/4/2024 00:00;;0;1;1;;33;343024000;25418;;0;POZOS, PARQUE EMPRESARIAL FORUM # 1, FILIAL # 1-A-3. ;F;1-1404377-2010;J;POZOS;SANTA ANA
212;TALLER BRANDT;101805;26/5/1998 00:00;COM;TALLER DE MECANICA Y PINTURA;212;;;0;0;1;;929;112015000;583818;;0;SANTA ANA, CENTRO, DE LA GUARIA 500 ESTE. ;;1-1097325-2006;F;SANTA ANA;SANTA ANA
231;RANCHO DE MACHO;108473;1/1/1900 00:00;COM;BAR Y RESTAURANTE;231;;NL;0;0;1;61;97;533130000;384716;;0;URUCA, ANTIGUO RANCHO DE MACHO. ;;1-702688-1987;J;URUCA;SANTA ANA
236;PROVEEDOR DEL CANTON;17635;6/8/2004 00:00;COM;DISTRIBUIDORA;236;;;0;1;1;;304;911999999;123456;;0; ;;NO SE INDICA;J;SALITRAL;SANTA ANA
246;SALON DE BELLEZA TITI;17048;1/1/1900 00:00;COM;SALON DE BELLEZA;014-2020;8/1/2025 00:00;;0;0;1;;803;530104000;484653;;0;COSTADO SUR DE LA INTERSECCION DE AVENIDA 00 CON CALLE 28. CALLE TITI.;;1-339282-1996;F;URUCA;SANTA ANA
248;FLEXI;19500;25/10/2005 00:00;COM;ZAPATERIA;CS-ARS-SA-354-2010;6/8/2015 00:00;;0;1;1;;1315;328150010;57934;;0;POZOS, CONDOMINIO VISTANA OESTE, FILIAL # 10. ;F;1-1171975-2007;J;POZOS;SANTA ANA
252;CANDELAS FLORI;15636;13/3/1985 00:00;COM;FABRICA DE CANDELAS;252;;NL;0;0;1;;379;312060004;627647;;0;POZOS, DE LA IGLESIA 100 NORTE, 125 OESTE y 50 SUR.  ;;1-1494806-2011;J;POZOS;SANTA ANA
255;CENTRO DE CARNES PIEDADES;205511;27/6/1992 00:00;COM;CARNICERIA;070230-01;10/7/2020 00:00;;0;0;1;;157;504100001;164657;;5;PIEDADES, DE LA ESCUELA EZEQUIEL MORALES 92 OESTE. ;;1-678914-1987;F;PIEDADES;SANTA ANA
257;TALLER RONY;101817;28/11/2004 00:00;COM;TALLER DE PINTURA;257;;NL;0;0;1;;932;148197000;35078;;2;URUCA, COSTADO NORTE DE LA ESCUELA LA MINA, PREDIO ESQUINERO ;; 1-1806168-2015;F;URUCA;SANTA ANA
266;VIDEO SANTA ANA ;101821;20/7/1999 00:00;COM;VIDEOS CLUB;266;;;0;0;1;;1311;124154000;78985;;0;SANTA ANA, CENTRO, DE RICESA 100 ESTE. ;;1-332378-1979;F;SANTA ANA;SANTA ANA
267;PULPERIA IRIS;17030;29/2/2000 00:00;COM;PULPERIA;267;;;0;1;1;;748;114200000;450478;;1;POZOS, ALTO DE LAS PALOMAS, DE LA ENTRADA A BARRIO LOS FONSECA 95 NORTE. ;;1-763280-1988;F;POZOS;SANTA ANA
272;CASTRO CAMIONES Y REPUESTOS;8401;16/2/1999 00:00;COM;TRANSPORTES Y REPUESTOS;272;;;0;0;1;;1007;105002000;409743;;0;SANTA ANA, CENTRO, DE FURATI 578 NORTE. ;;1-705519-1987;J;SANTA ANA;SANTA ANA
275;SUN VALLEY SCHOOL S. A.;205195;2/11/1999 00:00;COM;EDUCACION PRIVADA (PRIMARIA Y PREESCOLAR);656-2013;8/11/2020 00:00;;0;1;1;;455;509054000;76451;;0;FRENTE A LA ENTRADA PRINCIPAL DE URBANIZACION  HACIENDA PARAISO. ;;1-726888-1988;J;PIEDADES;SANTA ANA
281;SUPER PIEDADES;2940;7/1/1990 00:00;COM;LICORERA;281;;;0;0;1;8;490;503071000;85449;;2;PIEDADES, COSTADO OESTE DEL SUPER PIEDADES. ;;1-571124-1985;F;PIEDADES;SANTA ANA
285;BAR Y RESTAURANTE EL COCO;113540;1/1/1900 00:00;COM;BAR Y RESTAURANTE;285;;;0;1;1;66;;124023000;300863;;0;SANTA ANA, CENTRO, COSTADO ESTE DE RICESA, BAR-RESTAURANTE EL COCO. ;;1-444052-1981;J;SANTA ANA;SANTA ANA
287;4 x 4;205819;22/2/1994 00:00;COM;BAR Y RESTAURANTE;287;11/2/2020 00:00;;0;1;1;446;;168017000;208544;;0;BAR-RESTAURANTE TARGUA 4 X 4. ;;NO SE INDICA;J;SALITRAL;SANTA ANA
291;SALA DE BELLEZA ADRIANA;15642;1/1/1900 00:00;COM;SALON DE BELLEZA;291;;;0;0;1;;;305009000;204669;;0;POZOS, DEL ANTIGUO BAR JENNY 100 OESTE Y 100 NORTE.  ;;1-771648-2002;F;PIEDADES;SANTA ANA
293;PULPERIA ROSA;9796;1/1/1900 00:00;COM;PULPERIA;293;;;0;0;1;;748;103080000;271778;;2;1ERA ENTRADA AL INVU 100 OESTE Y 85 NORTE. ;;1-554110-1984;F;SANTA ANA;SANTA ANA
295;CHIQUITA BRAND ;18436;17/11/2004 00:00;COM;OFICINAS (ZONA FRANCA);295;;;0;0;1;;656;344092000;24179;;0;POZOS, PARQUE EMPRESARIAL FORUM # 1, FILIAL # 6-C-3. ;F;1-658987-2000;J;POZOS;SANTA ANA
